N;radius;distance;ratio;density;contacts;loose;boundary;symmetry group;reference
1658;0.022969258651561834368311609060;0.047018497329697254404306473984;43.5364508349947670083638734791;0.874738985697893278545120493484;3206;25;104;;[31]
1659;0.022965436749359219462118970192;0.047010489931803664385066869328;43.5436961601830608793821538813;0.874975321962350642485726467085;3324;43;105;;[31]
1660;0.022951555897351762615329638892;0.046981408211403862066750287753;43.5700309152192939007210017890;0.874444704061375705620812948805;4112;35;105;;[31]
1661;0.022944096648071909460747287547;0.046965780707857042030780477930;43.5841957667151944950834090325;0.874402839424463352321194379848;3728;39;105;;[31]
1662;0.022939668939390486234447458927;0.046956504547655165789482432266;43.5926081863747374013294628819;0.874591619163166488380621265389;3605;26;99;;[31]
1663;0.022939660895008699226371782303;0.046956487694551048325718380471;43.5926234732434033175478806364;0.875117233809399557894411421423;3552;36;98;;[31]
1664;0.022937804387700803907041905651;0.046952598290483002083961984234;43.5961517108497803211754634513;0.875501735893701282722697125618;3257;31;100;;[31]
1665;0.022925610451265598666608185180;0.046927052221384864715939179249;43.6193401316733714844668522429;0.875096718247692113480773488904;4009;40;101;;[31]
1666;0.022921067287762503172283177762;0.046917534541731966220754865075;43.6279858806530068874308258309;0.875275292466487098135210262289;4214;37;97;;[31]
1667;0.022919673418840393755224810630;0.046914614480136312387532581925;43.6306391337139027002326021865;0.875694153187040272216624493740;3832;30;102;;[31]
1668;0.022905121447950301179227332452;0.046884129577862993101803282586;43.6583583401818847638872207097;0.875107173693648639956806681097;3072;31;94;;[31]
1669;0.022901784256333504197242561007;0.046877138628081570057601241737;43.6647201286707306132115967834;0.875376684224363765169645667054;3690;40;101;;[31]
1670;0.022888921230925736335462612245;0.046850192835312624624204273498;43.6892586553567018323524490849;0.874917534242923284792020811097;3199;52;102;;[31]
1671;0.022879536801963052502615639979;0.046830534542445590861374210907;43.7071785436757842832538746541;0.874723724339149827303302125384;3208;51;96;;[31]
1672;0.022876470325726001664115738978;0.046824111038144618007676994477;43.7130372719885169696511305589;0.875012599710710913481629481510;3366;40;100;;[31]
1673;0.022868821417698753506944933923;0.046808088655770124903002014107;43.7276579205815548075257953584;0.874950547346881159464622194929;4133;37;101;;[31]
1674;0.022865513595348036548003030762;0.046801159745126314079667163120;43.7339837493721940281415252043;0.875220285852922824655945499778;3434;34;98;;[31]
1675;0.022861558462022503393935859718;0.046792874970795968359699756926;43.7415498887004821846291815696;0.875440182648391824016495393517;3857;31;100;;[31]
1676;0.022856932548926026364498245176;0.046783185206541894728048063827;43.7504025467751042944660258801;0.875608376655354131833113497434;4088;35;102;;[31]
1677;0.022849799129739852659919314002;0.046768243222770836133435115875;43.7640608708224168982737872458;0.875584038091884634605644269099;4254;37;103;;[31]
1678;0.022842914378397801746860380634;0.046753822316842050799677766534;43.7772511613353880345781837986;0.875578281187408263282959432401;4199;41;103;;[31]
1679;0.022831720085606969005347137996;0.046730375013006340909920815459;43.7987149566710158599628161687;0.875241615231347107444531438434;3324;33;106;;[31]
1680;0.022823429493707541734400654964;0.046713010079401145243091106915;43.8146248036782420450896406454;0.875127008875122015308347258470;3427;26;105;;[31]
1681;0.022821624181988566260782832187;0.046709228830169772511948303483;43.8180907732775057500899057671;0.875509397440898422786430493676;3445;49;102;;[31]
1682;0.022818099459724793335510003750;0.046701846293118749961897604545;43.8248593738078523289077119640;0.875759645088447867076735557910;3963;39;106;;[31]
1683;0.022804024883924295878984576434;0.046672367599990435721765428183;43.8519079456429771428710290718;0.875199636175872588998725160148;3098;39;100;;[31]
1684;0.022802346402746340375903934561;0.046668852138165683889370325649;43.8551358854700527497898218622;0.875590750476892824090494288295;3403;36;101;;[31]
1685;0.022786057701602160714054428677;0.046634737216314313091424144056;43.8864858983345239407422699687;0.874859457103552195875470939507;3228;34;95;;[31]
1686;0.022781491290921679001080083866;0.046625173567406951130626790787;43.8952826761826371951652896611;0.875027838409041759914202578567;3213;43;97;;[31]
1687;0.022778953715691903934868063828;0.046619859042750706892232496897;43.9001726102600888413795981892;0.875351795527816552332777785186;4247;27;103;;[31]
1688;0.022778491606434931546073740019;0.046618891235580844350153171280;43.9010632169120304436363674470;0.875835139611152148703819087906;4250;27;105;;[31]
1689;0.022778351713816923610762793473;0.046618598255093498866010593962;43.9013328340794139999538369552;0.876343235182407037554408778664;3576;34;110;;[31]
1690;0.022767545332123191515111962134;0.046595966442520560900573969107;43.9221701510825462803599324062;0.876030293560980850686908887673;3290;24;111;;[31]
1691;0.022762231242884467705723342489;0.046584837325381422940459093704;43.9324242570728905834776345141;0.876139518422336913053829391310;3695;32;111;;[31]
1692;0.022753500126472122644463463419;0.046566552306745141582390339987;43.9492822836768400853792777745;0.875985231465080796791139908099;3642;36;110;;[31]
1693;0.022743029468348226855469288446;0.046544624708024258404184873561;43.9695160836735997882441841296;0.875696444251077820689596292316;3791;41;104;;[31]
1694;0.022740649324552815660824502149;0.046539640288599502607528305862;43.9741181409587800748380751932;0.876030301103669826357184306662;3317;61;103;;[31]
1695;0.022727598393094050105150140253;0.046512309885603228651265920286;43.9993695200042535646939933088;0.875541620176622266184367424305;4284;31;103;;[31]
1696;0.022717880296059019923692556352;0.046491959359578177660422123579;44.0181912646786335417564837963;0.875309136407729060005439963702;4278;44;98;;[31]
1697;0.022715118136019625629741160827;0.046486175234175251891181290734;44.0235438799804624633944169555;0.875612276510857126402141405656;4148;57;96;;[31]
1698;0.022706540888257767295528996907;0.046468214181839799450238263899;44.0401734866242865475479121522;0.875466724488986877214045131194;3954;43;97;;[31]
1699;0.022702702726405739287199008078;0.046460177040784592269611798114;44.0476190016305880806459942427;0.875686196130952448874790560233;3520;36;102;;[31]
1700;0.022694663790780158984182174127;0.046443343651040342824292832390;44.0632216109875087860104387546;0.875581199780131694856826759431;3350;42;107;;[31]
1701;0.022688342246102829057795079985;0.046430106642227569451235879355;44.0754987364389636240981686283;0.875608246463576716954147025109;4176;36;106;;[31]
1702;0.022684119716339750643997568304;0.046421264964518568646135924908;44.0837031590731415033371120788;0.875796926993507943292734961597;3902;27;118;;[31]
1703;0.022682923238134977717129510134;0.046418759637946944138272032362;44.0860284850226132268051671965;0.876219056285991802512005092547;4310;38;111;;[31]
1704;0.022662837002099043108227648820;0.046376701634024974564895909623;44.1251022503219481401036152948;0.875181524396241062362354003696;3457;41;103;;[31]
1705;0.022662207415530934394478420514;0.046375383388384199301330302802;44.1263281049434263465832705133;0.875646474630449690410673046573;4293;28;103;;[31]
1706;0.022652949692342330424814633680;0.046355999509511879193480357586;44.1443614885192162805454952374;0.875444357377029975395527738536;4362;32;118;;[31]
1707;0.022646076827449077840714106940;0.046341609299399996640184771418;44.1577588745044898629965833304;0.875426066216757436472287637986;4224;34;117;;[31]
1708;0.022640394470616050344441210448;0.046329711894227401407603907454;44.1688417265810020067539249601;0.875499384728953919702029150129;4371;36;116;;[31]
1709;0.022630118397677758527660647221;0.046308196771067738865210259445;44.1888982826805401163533441802;0.875216940106188934052450980235;3292;44;114;;[31]
1710;0.022623283161824533220640430363;0.046293886015642168133141326113;44.2022491981818755572208619224;0.875200129144359797745675682996;4304;37;112;;[31]
1711;0.022622667072070619970749707189;0.046292596134391399933315758513;44.2034529710502187707812091606;0.875664246991363302559221456710;4281;18;110;;[31]
1712;0.022611348317647915258237839646;0.046268898822853377848354013416;44.2255802684491268119563804418;0.875299500534302643509210948694;3202;40;113;;[31]
1713;0.022603604660147632235104390999;0.046252686766433366430769728035;44.2407312919915775042895530659;0.875211002442040407663513217953;4264;39;106;;[31]
1714;0.022599909272240235097315962556;0.046244950223838485723686503026;44.2479652441929540222062169696;0.875435611080522121883155934835;3581;34;101;;[31]
1715;0.022588561073293909341739443301;0.046221192373394711791337626426;44.2701948457568568637000008761;0.875066901685708045596599932020;3889;32;106;;[31]
1716;0.022582218485485114890113983807;0.046207914184851083778515627286;44.2826288587526185812309438947;0.875085511402134551552742567539;3398;25;102;;[31]
1717;0.022579328187778307345521518813;0.046201863412432842835186790099;44.2882973170688912701742780064;0.875371347443373835952901927017;4257;41;109;;[31]
1718;0.022570747800608192578642332176;0.046183900778127820659254334850;44.3051337436437948441105649300;0.875215611486737128569315060178;1755;451;62;;[31]
1719;0.022568607551786234539315721952;0.046179420317691430572804171599;44.3093353325138189491420943714;0.875558978494826824157010771930;2727;87;91;;[31]
1720;0.022567503964049382249062308845;0.046177110042020404513091772449;44.3115021312514611757898486899;0.875982644487901480178163416501;1991;486;70;;[31]
1721;0.022566898981469511732831245781;0.046175843559940336559512933127;44.3126900519710653685619544110;0.876444943910181309694828400620;2369;302;79;;[31]
1722;0.022566824427228091951570842689;0.046175687486776829808229648195;44.3128364482441762852680174580;0.876948414463920897650354651328;2426;158;92;;[31]
1723;0.022566567317270497890943504907;0.046175149248440950734420495354;44.3133413221729355423388940292;0.877437681915484416485749529906;2928;58;102;;[31]
1724;0.022544747493602126878081633533;0.046129472292041443856538831265;44.3562297729786297342285683747;0.876249962584681654394841793898;3182;48;102;;[31]
1725;0.022530181034202303748000035859;0.046098980443283946373790168750;44.3849074484547600226150448084;0.875625624073527851522897054296;3328;37;103;;[31]
1726;0.022523642545157245103442632112;0.046085293773865599724744106456;44.3977921419733960967107380541;0.875624781264482277541728675304;3438;36;108;;[31]
1727;0.022519150413675288226265885263;0.046075890741400236981893250686;44.4066486359417130026797218033;0.875782657755894999672970768371;3189;42;107;;[31]
1728;0.022513721346490855704274138783;0.046064526609015090482838605432;44.4173570690421161844062665354;0.875867297242932913784519847468;3620;35;107;;[31]
1729;0.022510754839661159531698397535;0.046058317165359074508468734246;44.4232104664088812686788886640;0.876143230287346658669165879380;3224;58;108;;[31]
1730;0.022502849857132734376056513292;0.046041770769037645642093389716;44.4388158099463891166278978600;0.876034375428299592380808018317;3505;32;111;;[31]
1731;0.022496249669276468611280914587;0.046027955722247008426818514446;44.4518537401244227686298564501;0.876026642334771830055392732079;4097;37;115;;[31]
1732;0.022490047951130663002814642907;0.046014974894099701903201190011;44.4641115115864425785194709635;0.876049508854079114806937927643;3416;65;100;;[31]
1733;0.022488398729120842836400114194;0.046011522932072212942613311436;44.4673723569776730365764223434;0.876426758134068186664850788601;3378;48;102;;[31]
1734;0.022483958815001741026885350382;0.046002229871840179468317554193;44.4761533423900539119215573359;0.876586252526800253599243942456;3190;48;107;;[31]
1735;0.022488900420442574247380230813;0.046012573013473497273116178867;44.4663803611755387539721099431;0.877477364079210104431272722327;3051;54;85;;[31]
1736;0.022480811860461379243827386825;0.045995643120311403939268126900;44.4823792933729375322471376519;0.877351661707880329944698875713;3318;53;115;;[31]
1737;0.022476932629214301742470223767;0.045987523731117321436224880911;44.4900563834165729658038263896;0.877554113226480349706206325201;3813;38;118;;[31]
1738;0.022472810968213578453022465968;0.045978896997171556221366419040;44.4982161517061241998900480936;0.877737330629099172336593709112;3586;34;119;;[31]
1739;0.022469601207160494902165277475;0.045972178941766709339581210570;44.5045726793462286374044433750;0.877991499452952534984548698228;3976;33;118;;[31]
1740;0.022465328793167710121685860756;0.045963236813754648629709441857;44.5130364753052698949706128544;0.878162336146126483446351357066;3815;47;117;;[31]
1741;0.022460609299228328874246857333;0.045953359041883565979751700677;44.5223896946712234817648985528;0.878297886931185405934268339462;3932;22;119;;[31]
1742;0.022450672663412463358296807865;0.045932562246410915628846286320;44.5420952410787023647269332012;0.878024968695149859325124321461;3185;51;116;;[31]
1743;0.022445588506077837864052881176;0.045921921567058246273175450328;44.5521844851258431566645193438;0.878131144818614489578933814271;3228;37;116;;[31]
1744;0.022444502995335864605779892125;0.045919649706043803002701171836;44.5543392165024759294415290808;0.878549966450125203480187127503;3239;47;118;;[31]
1745;0.022440725180009140848225379266;0.045911743171055090382643818717;44.5618397791720858722238012656;0.878757825825195020685653161369;2944;76;102;;[31]
